sid,pair,file
20230622,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20230627,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20230705,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20230707,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20230710,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231025,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231103,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231109,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231121,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231123,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231130,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231205,SFEF->SLIP,flow_timeseries_SFEFtoSLIP.npz
20231025,SFEF->SSC,flow_timeseries_SFEFtoSSC.npz
20231103,SFEF->SSC,flow_timeseries_SFEFtoSSC.npz
20231109,SFEF->SSC,flow_timeseries_SFEFtoSSC.npz
20231121,SFEF->SSC,flow_timeseries_SFEFtoSSC.npz
20231123,SFEF->SSC,flow_timeseries_SFEFtoSSC.npz
20231130,SFEF->SSC,flow_timeseries_SFEFtoSSC.npz
20231205,SFEF->SSC,flow_timeseries_SFEFtoSSC.npz
20230622,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20230627,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20230705,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20230707,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20230710,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231025,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231103,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231109,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231121,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231123,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231130,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231205,SLIP->SFEF,flow_timeseries_SLIPtoSFEF.npz
20231025,SLIP->SSC,flow_timeseries_SLIPtoSSC.npz
20231103,SLIP->SSC,flow_timeseries_SLIPtoSSC.npz
20231109,SLIP->SSC,flow_timeseries_SLIPtoSSC.npz
20231121,SLIP->SSC,flow_timeseries_SLIPtoSSC.npz
20231123,SLIP->SSC,flow_timeseries_SLIPtoSSC.npz
20231130,SLIP->SSC,flow_timeseries_SLIPtoSSC.npz
20231205,SLIP->SSC,flow_timeseries_SLIPtoSSC.npz
20231025,SSC->SFEF,flow_timeseries_SSCtoSFEF.npz
20231103,SSC->SFEF,flow_timeseries_SSCtoSFEF.npz
20231109,SSC->SFEF,flow_timeseries_SSCtoSFEF.npz
20231121,SSC->SFEF,flow_timeseries_SSCtoSFEF.npz
20231123,SSC->SFEF,flow_timeseries_SSCtoSFEF.npz
20231130,SSC->SFEF,flow_timeseries_SSCtoSFEF.npz
20231205,SSC->SFEF,flow_timeseries_SSCtoSFEF.npz
20231025,SSC->SLIP,flow_timeseries_SSCtoSLIP.npz
20231103,SSC->SLIP,flow_timeseries_SSCtoSLIP.npz
20231109,SSC->SLIP,flow_timeseries_SSCtoSLIP.npz
20231121,SSC->SLIP,flow_timeseries_SSCtoSLIP.npz
20231123,SSC->SLIP,flow_timeseries_SSCtoSLIP.npz
20231130,SSC->SLIP,flow_timeseries_SSCtoSLIP.npz
20231205,SSC->SLIP,flow_timeseries_SSCtoSLIP.npz
