sid,pair,IC,pIC,IR,pIR
20230622,SFEF->SLIP,0.00775418410079653,0.5449101796407185,0.008570575893347107,0.02594810379241517
20230627,SFEF->SLIP,0.053638153632282866,0.003992015968063872,0.005738582530235015,0.42115768463073855
20230705,SFEF->SLIP,0.03162988598320368,0.7684630738522954,0.013344598484220673,0.023952095808383235
20230707,SFEF->SLIP,0.02029311104696177,0.003992015968063872,0.007452097043048804,0.021956087824351298
20230710,SFEF->SLIP,0.0029243517786993038,0.6087824351297405,0.0030694070912569513,0.9021956087824351
20231025,SFEF->SLIP,0.00966921210281562,0.1437125748502994,0.00990684257866042,0.029940119760479042
20231103,SFEF->SLIP,0.003777784663421492,0.3073852295409182,0.005920656842663449,0.1277445109780439
20231109,SFEF->SLIP,0.007238051343309609,0.4291417165668663,0.005079305105218443,0.35728542914171657
20231121,SFEF->SLIP,0.0046629832532119634,0.08782435129740519,0.016278272558787676,0.001996007984031936
20231123,SFEF->SLIP,0.024800121700718818,0.11177644710578842,0.005237412363838381,0.592814371257485
20231130,SFEF->SLIP,0.00503439315908083,0.48902195608782434,0.007794350040851749,0.1157684630738523
20231205,SFEF->SLIP,0.020932984827936926,0.03792415169660679,0.01178874157453639,0.013972055888223553
20231025,SFEF->SSC,0.002180734928054391,0.6686626746506986,0.020637637977346232,0.001996007984031936
20231103,SFEF->SSC,0.0011311108368587321,0.6746506986027944,0.01512481164658123,0.001996007984031936
20231109,SFEF->SSC,0.024078225537912272,0.007984031936127744,0.015745476712464283,0.001996007984031936
20231121,SFEF->SSC,0.04236608245995428,0.001996007984031936,0.022365775602513977,0.001996007984031936
20231123,SFEF->SSC,0.01166645924301455,0.626746506986028,0.009889349677014507,0.015968063872255488
20231130,SFEF->SSC,0.043215359785325494,0.005988023952095809,0.0049827833762970146,0.25149700598802394
20231205,SFEF->SSC,0.007018375776825393,0.27944111776447106,0.024183666497908183,0.001996007984031936
20230622,SLIP->SFEF,0.007204730560192161,0.23353293413173654,0.008358278021422014,0.03792415169660679
20230627,SLIP->SFEF,0.0505031372563061,0.003992015968063872,0.005332583534312395,0.5848303393213573
20230705,SLIP->SFEF,0.06015716717674621,0.19760479041916168,0.009939220615940674,0.562874251497006
20230707,SLIP->SFEF,0.018575519136565882,0.003992015968063872,0.0036816831231782617,0.43313373253493015
20230710,SLIP->SFEF,0.008165910345691814,0.011976047904191617,0.009888099606194469,0.07385229540918163
20231025,SLIP->SFEF,0.0077725723381689895,0.2155688622754491,0.00984124213700844,0.05389221556886228
20231103,SLIP->SFEF,0.0011260005841403071,0.8962075848303394,0.007427380648911696,0.05588822355289421
20231109,SLIP->SFEF,0.009609792181114477,0.12974051896207583,0.007447667424634398,0.11177644710578842
20231121,SLIP->SFEF,0.0033226478013293993,0.16766467065868262,0.014022129725198777,0.001996007984031936
20231123,SLIP->SFEF,0.029940538776753383,0.059880239520958084,0.005845450908437267,0.5768463073852296
20231130,SLIP->SFEF,0.009160730714063077,0.09381237524950099,0.0090302438478365,0.029940119760479042
20231205,SLIP->SFEF,0.03513816777256642,0.001996007984031936,0.011362240669677086,0.029940119760479042
20231025,SLIP->SSC,0.0030480456055881466,0.18762475049900199,0.015455525388231762,0.007984031936127744
20231103,SLIP->SSC,0.0007170643226363479,0.6746506986027944,0.0053924989634673345,0.23353293413173654
20231109,SLIP->SSC,0.005286407205679726,0.21756487025948104,0.006070573823223928,0.46706586826347307
20231121,SLIP->SSC,0.0011368602109404343,0.6027944111776448,0.046677846164422214,0.001996007984031936
20231123,SLIP->SSC,0.012089314841119816,0.02594810379241517,0.01650244026986262,0.001996007984031936
20231130,SLIP->SSC,0.012022846046428252,0.041916167664670656,0.012179142826522642,0.001996007984031936
20231205,SLIP->SSC,0.004110678724213295,0.14570858283433133,0.0120271726738387,0.00998003992015968
20231025,SSC->SFEF,0.01506363888297408,0.001996007984031936,0.032317615901800704,0.001996007984031936
20231103,SSC->SFEF,0.0022830938407237566,0.09181636726546906,0.015441893687626827,0.001996007984031936
20231109,SSC->SFEF,0.014502443313223944,0.2554890219560878,0.01463541868583998,0.003992015968063872
20231121,SSC->SFEF,0.014906715245953309,0.23353293413173654,0.03519135579941543,0.001996007984031936
20231123,SSC->SFEF,0.0072747051308589515,0.5129740518962076,0.011213860580562946,0.003992015968063872
20231130,SSC->SFEF,0.03510336861980036,0.32335329341317365,0.0031173237483195435,0.6786427145708582
20231205,SSC->SFEF,0.0072539360192144155,0.43912175648702595,0.021052168944502403,0.001996007984031936
20231025,SSC->SLIP,0.002985924372256198,0.1536926147704591,0.016018200622921926,0.00998003992015968
20231103,SSC->SLIP,0.0009734170971539643,0.499001996007984,0.006138550289087865,0.1996007984031936
20231109,SSC->SLIP,0.008815970136649403,0.029940119760479042,0.01448087003563961,0.003992015968063872
20231121,SSC->SLIP,0.0018768637319270338,0.31736526946107785,0.0268884168919823,0.001996007984031936
20231123,SSC->SLIP,0.0021646882419871045,0.6506986027944112,0.01276302754135582,0.001996007984031936
20231130,SSC->SLIP,0.0076148791523014256,0.44510978043912175,0.005366108382762333,0.12974051896207583
20231205,SSC->SLIP,0.0052186949803632015,0.11776447105788423,0.015709335929517614,0.001996007984031936
