sid,pair,IC,pIC,IR,pIR
20200327,MFEF->MLIP,0.060812111674542854,0.10179640718562874,0.05182764271595955,0.033932135728542916
20200328,MFEF->MLIP,0.032918233106901014,0.6467065868263473,0.07186562287574037,0.17365269461077845
20200401,MFEF->MLIP,0.477339215212189,0.001996007984031936,0.0640612800616821,0.4251497005988024
20200402,MFEF->MLIP,0.0884652037963686,0.033932135728542916,0.039149054617819416,0.405189620758483
20200926,MFEF->MLIP,0.3536039938559402,0.011976047904191617,0.048229115535177565,0.1277445109780439
20200929,MFEF->MLIP,0.12548756455992827,0.001996007984031936,0.05736758603159202,0.007984031936127744
20201001,MFEF->MLIP,0.03682750486115987,1.0,0.0778669250020477,0.041916167664670656
20201004,MFEF->MLIP,0.18933546946004595,0.033932135728542916,0.06136999539755903,0.03792415169660679
20201204,MFEF->MLIP,0.01979605497732359,0.844311377245509,0.07014513268661272,0.023952095808383235
20201211,MFEF->MLIP,0.053285983427960426,0.09381237524950099,0.058739295263502134,0.35528942115768464
20201216,MFEF->MLIP,0.12543280337413953,0.003992015968063872,0.07482017584272219,0.013972055888223553
20200926,MFEF->MSC,0.22563611295141778,0.41317365269461076,0.03879323587540915,0.16766467065868262
20200929,MFEF->MSC,0.027852906099875323,0.033932135728542916,0.04602110100259357,0.47704590818363274
20201001,MFEF->MSC,0.05829111793125354,0.1497005988023952,0.07990314491971534,0.12574850299401197
20201004,MFEF->MSC,0.08062575724658005,0.5808383233532934,0.03426544450954039,0.6926147704590818
20201204,MFEF->MSC,0.09465710623019437,0.5728542914171657,0.05892261219132258,0.007984031936127744
20201211,MFEF->MSC,0.3987336321093499,0.005988023952095809,0.0635134922074633,0.03592814371257485
20201216,MFEF->MSC,0.031637670604105994,0.5169660678642715,0.058576519310869414,0.11377245508982035
20200327,MLIP->MFEF,0.0451728458596524,0.4431137724550898,0.04428550690152253,0.2055888223552894
20200328,MLIP->MFEF,0.016997995206960218,0.9221556886227545,0.055627690447052944,0.8223552894211577
20200401,MLIP->MFEF,0.2707574588024535,0.09181636726546906,0.06509355769882447,0.11177644710578842
20200402,MLIP->MFEF,0.03305566959796203,0.7664670658682635,0.04196467028346254,0.2834331337325349
20200926,MLIP->MFEF,0.23305765612752574,0.7225548902195609,0.06316762027312915,0.015968063872255488
20200929,MLIP->MFEF,0.07231466537211273,0.02594810379241517,0.04251599143393048,0.3473053892215569
20201001,MLIP->MFEF,0.024887473790902524,0.20159680638722555,0.06129716383434186,0.5888223552894212
20201004,MLIP->MFEF,0.10606509399646084,0.8483033932135728,0.07060256732082155,0.003992015968063872
20201204,MLIP->MFEF,0.012704515132944287,0.6726546906187625,0.09226136080218802,0.011976047904191617
20201211,MLIP->MFEF,0.028493921692334518,0.1317365269461078,0.06666889805422872,0.16367265469061876
20201216,MLIP->MFEF,0.09350162876407858,0.08582834331337326,0.0661407369465817,0.05189620758483034
20200926,MLIP->MSC,0.1809794341270753,0.31736526946107785,0.036996108170454706,0.3333333333333333
20200929,MLIP->MSC,0.034882955357522394,0.003992015968063872,0.04175088903515671,0.24550898203592814
20201001,MLIP->MSC,0.1719981582266281,0.001996007984031936,0.05577647189953714,0.1996007984031936
20201004,MLIP->MSC,0.006496778499333825,0.9121756487025948,0.04983096537029655,0.11776447105788423
20201204,MLIP->MSC,0.017607679116058747,0.41916167664670656,0.060710448705815816,0.16167664670658682
20201211,MLIP->MSC,0.031002390534267617,0.14770459081836326,0.06497178123957074,0.08183632734530938
20201216,MLIP->MSC,0.022913225936309192,0.05389221556886228,0.09754473256309448,0.001996007984031936
20200926,MSC->MFEF,0.15720646657464718,0.36926147704590817,0.04067559544852701,0.1317365269461078
20200929,MSC->MFEF,0.017042491230100057,0.0998003992015968,0.044379816536016574,0.5369261477045908
20201001,MSC->MFEF,0.028937526408430194,0.001996007984031936,0.08389259623722568,0.0658682634730539
20201004,MSC->MFEF,0.05227220336430847,0.3373253493013972,0.041166803742948684,0.3073852295409182
20201204,MSC->MFEF,0.025356532535849068,0.6746506986027944,0.03576961464121542,0.7604790419161677
20201211,MSC->MFEF,0.17513569481504937,0.16966067864271456,0.08937888790893213,0.001996007984031936
20201216,MSC->MFEF,0.039333523816710333,0.08383233532934131,0.0731638678659646,0.011976047904191617
20200926,MSC->MLIP,0.15338624233173895,0.9201596806387226,0.04073923559037738,0.1317365269461078
20200929,MSC->MLIP,0.02054379489977099,0.23552894211576847,0.05526752365451288,0.029940119760479042
20201001,MSC->MLIP,0.07229506807974469,0.8982035928143712,0.08766015467968438,0.001996007984031936
20201004,MSC->MLIP,0.01388234404261381,0.2654690618762475,0.04861252774832357,0.11377245508982035
20201204,MSC->MLIP,0.009305942457066615,0.7225548902195609,0.05512572284105152,0.24750499001996007
20201211,MSC->MLIP,0.035576711875437095,0.22554890219560877,0.07636727620964105,0.023952095808383235
20201216,MSC->MLIP,0.02372561064306323,0.9720558882235529,0.11376482229475571,0.001996007984031936
